S,d3,d4,d5,d6,ip,waste,length,status,closure,notes
120,22,2,0,0,0,145,870,open,,s11-grammar-subregion-closed;perfect-ride-family(ATSP-closable)
120,22,2,0,0,1,146,871,closed-lemma,lemma-B-passover,
120,23,2,0,0,0,146,871,open,,s11-grammar-subregion-closed;perfect-ride-family(ATSP-closable)
120,0,3,0,0,19,144,869,closed-lemma,lemma-B-passover,
120,0,3,0,0,20,145,870,closed-lemma,lemma-B-passover,
120,0,3,0,0,21,146,871,closed-lemma,lemma-B-passover,
120,1,3,0,0,18,144,869,closed-lemma,lemma-B-passover,
120,1,3,0,0,19,145,870,closed-lemma,lemma-B-passover,
120,1,3,0,0,20,146,871,closed-lemma,lemma-B-passover,
120,2,3,0,0,17,144,869,closed-lemma,lemma-B-passover,
120,2,3,0,0,18,145,870,closed-lemma,lemma-B-passover,
120,2,3,0,0,19,146,871,closed-lemma,lemma-B-passover,
120,3,3,0,0,16,144,869,closed-lemma,lemma-B-passover,
120,3,3,0,0,17,145,870,closed-lemma,lemma-B-passover,
120,3,3,0,0,18,146,871,closed-lemma,lemma-B-passover,
120,4,3,0,0,15,144,869,closed-lemma,lemma-B-passover,
120,4,3,0,0,16,145,870,closed-lemma,lemma-B-passover,
120,4,3,0,0,17,146,871,closed-lemma,lemma-B-passover,
120,5,3,0,0,14,144,869,closed-lemma,lemma-B-passover,
120,5,3,0,0,15,145,870,closed-lemma,lemma-B-passover,
120,5,3,0,0,16,146,871,closed-lemma,lemma-B-passover,
120,6,3,0,0,13,144,869,closed-lemma,lemma-B-passover,
120,6,3,0,0,14,145,870,closed-lemma,lemma-B-passover,
120,6,3,0,0,15,146,871,closed-lemma,lemma-B-passover,
120,7,3,0,0,12,144,869,closed-lemma,lemma-B-passover,
120,7,3,0,0,13,145,870,closed-lemma,lemma-B-passover,
120,7,3,0,0,14,146,871,closed-lemma,lemma-B-passover,
120,8,3,0,0,11,144,869,closed-lemma,lemma-B-passover,
120,8,3,0,0,12,145,870,closed-lemma,lemma-B-passover,
120,8,3,0,0,13,146,871,closed-lemma,lemma-B-passover,
120,9,3,0,0,10,144,869,closed-lemma,lemma-B-passover,
120,9,3,0,0,11,145,870,closed-lemma,lemma-B-passover,
120,9,3,0,0,12,146,871,closed-lemma,lemma-B-passover,
120,10,3,0,0,9,144,869,closed-lemma,lemma-B-passover,
120,10,3,0,0,10,145,870,closed-lemma,lemma-B-passover,
120,10,3,0,0,11,146,871,closed-lemma,lemma-B-passover,
120,11,3,0,0,8,144,869,closed-lemma,lemma-B-passover,
120,11,3,0,0,9,145,870,closed-lemma,lemma-B-passover,
120,11,3,0,0,10,146,871,closed-lemma,lemma-B-passover,
120,12,3,0,0,7,144,869,closed-lemma,lemma-B-passover,
120,12,3,0,0,8,145,870,closed-lemma,lemma-B-passover,
120,12,3,0,0,9,146,871,closed-lemma,lemma-B-passover,
120,13,3,0,0,6,144,869,closed-lemma,lemma-B-passover,
120,13,3,0,0,7,145,870,closed-lemma,lemma-B-passover,
120,13,3,0,0,8,146,871,closed-lemma,lemma-B-passover,
