class_a	class_b	shared_perms	loops_swapped	doors_changed	swap_signature
5906.up-63a938be8d73.txt	5906.up-72482a71c81e.txt	308	82	12	4db2a8af80c6
5906.up-63a938be8d73.txt	5906.up-c3afee7ed153.txt	308	64	12	a61d743e6b46
5906.up-63a938be8d73.txt	5906.up-c63a66adbc60.txt	308	66	12	b10860836981
5906.up-63a938be8d73.txt	5906.up-d1489855deef.txt	308	70	12	cb189f2ab803
5906.up-63a938be8d73.txt	5906.up-f2c7804be474.txt	308	78	12	ca846601591a
5906.up-331e3f0f91ee.txt	5906.up-53b55626d912.txt	291	8	0	926721eebfb5
5906.up-55058cab6cba.txt	5906.up-f0a3bb335ed9.txt	276	8	0	7a7fe8454c05
5906.up-14e2c7b29aae.txt	5906.up-5ce87c54ecea.txt	264	46	0	861bc25fb159
5906.up-5ce87c54ecea.txt	5906.up-a838f31a7b4f.txt	264	54	0	edb7a30049c4
5906.up-d2559533f431.txt	5906.up-e948752d6a32.txt	258	24	0	4b724975473f
5906.up-d2559533f431.txt	5906.up-eebb02e3baec.txt	258	18	0	79e3c97ba051
