timestamp,index,pattern,K,Sigma,engine,outcome,best_partial,minutes,worker_pid,word_file
2026-07-27T23:02:14,144,6666466466644666466646646664666,31,16,sat,TIMEOUT-KILLED,,33.0,22928,
2026-07-27T23:02:19,145,6666466466646646662666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,20108,
2026-07-27T23:02:20,146,6666466466646646664466646664666,31,16,sat,TIMEOUT-KILLED,,33.0,4824,
2026-07-27T23:02:36,147,6666466466646646664664666446666,31,16,sat,TIMEOUT-KILLED,,33.0,14356,
2026-07-27T23:03:19,148,6666466466646646664664666466466,31,16,sat,TIMEOUT-KILLED,,33.0,17176,
2026-07-27T23:04:03,149,6666466466646646664666366636666,31,16,sat,TIMEOUT-KILLED,,33.0,24048,
2026-07-27T22:44:28,150,6666466466646646664666446664666,31,16,sat,UNSAT,,13.39,26568,
2026-07-27T23:04:28,151,6666466466646663664666466636666,31,16,sat,TIMEOUT-KILLED,,33.0,3604,
2026-07-27T23:05:07,152,6666466466646663664666466646665,31,16,sat,TIMEOUT-KILLED,,33.0,5780,
2026-07-27T23:07:44,153,6666466466646663666366466646666,31,16,sat,TIMEOUT-KILLED,,33.0,8496,
2026-07-27T23:10:35,154,6666466466646663666366646664666,31,16,sat,TIMEOUT-KILLED,,33.0,2060,
2026-07-27T23:12:00,155,6666466466646664466646646664666,31,16,sat,TIMEOUT-KILLED,,33.0,25048,
2026-07-27T23:13:32,156,6666466466646664663666366646666,31,16,sat,TIMEOUT-KILLED,,33.0,12244,
2026-07-27T23:16:00,157,6666466466646664664666266646666,31,16,sat,TIMEOUT-KILLED,,33.0,16852,
2026-07-27T23:17:28,158,6666466466646664664666446664666,31,16,sat,TIMEOUT-KILLED,,33.0,26568,
2026-07-27T23:31:38,159,6666466466646664664666466646646,31,16,sat,TIMEOUT-KILLED,,33.0,8480,
2026-07-27T22:59:00,160,6666466466646664664666466646664,31,16,sat,UNSAT,,0.14,28972,
2026-07-27T23:32:01,161,6666466466646664666266646646666,31,16,sat,TIMEOUT-KILLED,,33.0,28972,
2026-07-27T23:35:06,162,6666466626664664666466466646666,31,16,sat,TIMEOUT-KILLED,,33.0,28108,
2026-07-27T23:35:06,163,6666466626664664666466646646666,31,16,sat,TIMEOUT-KILLED,,33.0,27008,
2026-07-27T23:35:08,164,6666466636646663664666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,23584,
2026-07-27T23:35:08,165,6666466636646664666366466646666,31,16,sat,TIMEOUT-KILLED,,33.0,14240,
2026-07-27T23:35:09,166,6666466636646664666466366646666,31,16,sat,TIMEOUT-KILLED,,33.0,12664,
2026-07-27T23:35:09,167,6666466636663664664666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,25824,
2026-07-27T23:35:11,168,6666466636663664666466466646666,31,16,sat,TIMEOUT-KILLED,,33.0,12756,
2026-07-27T23:35:11,169,6666466636663664666466646646666,31,16,sat,TIMEOUT-KILLED,,33.0,12992,
2026-07-27T23:35:11,170,6666466636663666466646646664666,31,16,sat,TIMEOUT-KILLED,,33.0,6620,
2026-07-27T23:35:13,171,6666466644646664666466466646666,31,16,sat,TIMEOUT-KILLED,,33.0,1752,
2026-07-27T23:35:14,172,6666466644666466466646646664666,31,16,sat,TIMEOUT-KILLED,,33.0,7044,
2026-07-27T23:35:14,173,6666466644666466466646664664666,31,16,sat,TIMEOUT-KILLED,,33.0,22928,
2026-07-27T23:08:13,174,6666466644666466646646664664666,31,16,sat,UNSAT,,5.9,20108,
2026-07-27T23:30:28,175,6666466644666466646664466646666,31,16,sat,UNSAT,,28.13,4824,
2026-07-27T23:35:36,176,6666466646636663666466646646666,31,16,sat,TIMEOUT-KILLED,,33.0,14356,
2026-07-27T23:36:19,177,6666466646636664666466366646666,31,16,sat,TIMEOUT-KILLED,,33.0,17176,
2026-07-27T23:37:03,178,6666466646644664664666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,24048,
2026-07-27T23:37:28,179,6666466646646644664666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,3604,
2026-07-27T23:38:07,180,6666466646646662664666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,5780,
2026-07-27T23:40:45,181,6666466646646662666466466646666,31,16,sat,TIMEOUT-KILLED,,33.0,8496,
2026-07-27T23:41:13,182,6666466646646662666466646664666,31,16,sat,TIMEOUT-KILLED,,33.0,20108,
2026-07-27T23:43:35,183,6666466646646664466646664664666,31,16,sat,TIMEOUT-KILLED,,33.0,2060,
2026-07-27T23:45:00,184,6666466646646664466646664666466,31,16,sat,TIMEOUT-KILLED,,33.0,25048,
2026-07-27T23:46:32,185,6666466646646664663666366646666,31,16,sat,TIMEOUT-KILLED,,33.0,12244,
2026-07-27T23:49:00,186,6666466646646664664666266646666,31,16,sat,TIMEOUT-KILLED,,33.0,16852,
2026-07-27T23:50:28,187,6666466646646664664666446664666,31,16,sat,TIMEOUT-KILLED,,33.0,26568,
2026-07-28T00:03:28,188,6666466646646664664666466446666,31,16,sat,TIMEOUT-KILLED,,33.0,4824,
2026-07-27T23:32:47,189,6666466646646664664666466466646,31,16,sat,UNSAT,,1.15,8480,
2026-07-28T00:05:01,190,6666466646646664666446664664666,31,16,sat,TIMEOUT-KILLED,,33.0,28972,
2026-07-28T00:05:48,191,6666466646646664666464466646666,31,16,sat,TIMEOUT-KILLED,,33.0,8480,
2026-07-27T23:35:33,192,6666466646646664666466466446666,31,16,sat,UNSAT,,0.45,28108,
2026-07-28T00:08:06,193,6666466646646664666466466626666,31,16,sat,TIMEOUT-KILLED,,33.0,27008,
2026-07-27T23:35:09,194,6666466646646664666466466644666,31,16,sat,UNSAT,,0.02,23584,
2026-07-28T00:08:08,195,6666466646646664666466466646664,31,16,sat,TIMEOUT-KILLED,,33.0,14240,
2026-07-27T23:37:47,196,6666466646646664666466626646666,31,16,sat,UNSAT,,2.64,12664,
2026-07-28T00:08:09,197,6666466646662666466466646646666,31,16,sat,TIMEOUT-KILLED,,33.0,23584,
2026-07-28T00:08:10,198,6666466646662666466466646664666,31,16,sat,TIMEOUT-KILLED,,33.0,25824,
2026-07-28T00:08:11,199,6666466646664466646646664664666,31,16,sat,TIMEOUT-KILLED,,33.0,12756,
2026-07-28T00:08:11,200,6666466646664466646646664666466,31,16,sat,TIMEOUT-KILLED,,33.0,12992,
2026-07-28T00:07:21,201,6666466646664644664666466646666,31,16,sat,UNSAT,,32.17,6620,
2026-07-28T00:08:14,202,6666466646664662664666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,1752,
2026-07-28T00:08:14,203,6666466646664662666466466646666,31,16,sat,TIMEOUT-KILLED,,33.0,7044,
2026-07-28T00:08:14,204,6666466646664663666366646664666,31,16,sat,TIMEOUT-KILLED,,33.0,22928,
2026-07-28T00:08:33,205,6666466646664663666466366646666,31,16,sat,TIMEOUT-KILLED,,33.0,28108,
