index,pattern,K,Sigma,verdict,zero_candidate_columns,cadical_pass1,dlx_sweep
131,6666366636646664664666466646666,31,16,UNSAT,0,UNSAT,
132,6666366636664666466466646646666,31,16,STRUCTURAL,3,TIMEOUT-KILLED,
133,6666366646664663666466646646666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,
134,6666446466646664664666466646666,31,16,UNSAT,0,UNSAT,
135,6666446646646664666466466646666,31,16,STRUCTURAL,1,UNSAT,
136,6666446646664664666466466646666,31,16,OPEN,0,TIMEOUT-KILLED,
137,6666446646664666466466646664666,31,16,OPEN,0,TIMEOUT-KILLED,
138,6666446664664666466466646646666,31,16,OPEN,0,TIMEOUT-KILLED,
139,6666446664664666466646646664666,31,16,OPEN,0,TIMEOUT-KILLED,
140,6666466266646664664666466646666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,
141,6666466266646664666466466646666,31,16,UNSAT,0,UNSAT,
142,6666466466626664664666466646666,31,16,OPEN,0,TIMEOUT-KILLED,
143,6666466466626664666466646646666,31,16,STRUCTURAL,2,TIMEOUT-KILLED,
144,6666466466644666466646646664666,31,16,OPEN,0,TIMEOUT-KILLED,
145,6666466466646646662666466646666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,
146,6666466466646646664466646664666,31,16,OPEN,0,TIMEOUT-KILLED,
147,6666466466646646664664666446666,31,16,OPEN,0,TIMEOUT-KILLED,
148,6666466466646646664664666466466,31,16,OPEN,0,TIMEOUT-KILLED,
149,6666466466646646664666366636666,31,16,STRUCTURAL,3,TIMEOUT-KILLED,
150,6666466466646646664666446664666,31,16,UNSAT,0,UNSAT,
151,6666466466646663664666466636666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,
152,6666466466646663664666466646665,31,16,STRUCTURAL,2,TIMEOUT-KILLED,
153,6666466466646663666366466646666,31,16,OPEN,0,TIMEOUT-KILLED,
154,6666466466646663666366646664666,31,16,STRUCTURAL,2,TIMEOUT-KILLED,
155,6666466466646664466646646664666,31,16,OPEN,0,TIMEOUT-KILLED,
156,6666466466646664663666366646666,31,16,OPEN,0,TIMEOUT-KILLED,
157,6666466466646664664666266646666,31,16,OPEN,0,TIMEOUT-KILLED,
158,6666466466646664664666446664666,31,16,OPEN,0,TIMEOUT-KILLED,
159,6666466466646664664666466646646,31,16,OPEN,0,TIMEOUT-KILLED,
160,6666466466646664664666466646664,31,16,UNSAT,0,UNSAT,
161,6666466466646664666266646646666,31,16,STRUCTURAL,2,TIMEOUT-KILLED,
162,6666466626664664666466466646666,31,16,OPEN,0,TIMEOUT-KILLED,
163,6666466626664664666466646646666,31,16,OPEN,0,TIMEOUT-KILLED,
164,6666466636646663664666466646666,31,16,OPEN,0,TIMEOUT-KILLED,
165,6666466636646664666366466646666,31,16,OPEN,0,TIMEOUT-KILLED,
166,6666466636646664666466366646666,31,16,OPEN,0,TIMEOUT-KILLED,
167,6666466636663664664666466646666,31,16,OPEN,0,TIMEOUT-KILLED,
168,6666466636663664666466466646666,31,16,OPEN,0,TIMEOUT-KILLED,
169,6666466636663664666466646646666,31,16,OPEN,0,TIMEOUT-KILLED,
170,6666466636663666466646646664666,31,16,STRUCTURAL,2,TIMEOUT-KILLED,
171,6666466644646664666466466646666,31,16,OPEN,0,TIMEOUT-KILLED,
172,6666466644666466466646646664666,31,16,OPEN,0,TIMEOUT-KILLED,
173,6666466644666466466646664664666,31,16,OPEN,0,TIMEOUT-KILLED,
174,6666466644666466646646664664666,31,16,UNSAT,0,UNSAT,
175,6666466644666466646664466646666,31,16,UNSAT,0,UNSAT,
176,6666466646636663666466646646666,31,16,OPEN,0,TIMEOUT-KILLED,
177,6666466646636664666466366646666,31,16,OPEN,0,TIMEOUT-KILLED,
178,6666466646644664664666466646666,31,16,OPEN,0,TIMEOUT-KILLED,
179,6666466646646644664666466646666,31,16,OPEN,0,TIMEOUT-KILLED,
180,6666466646646662664666466646666,31,16,OPEN,0,TIMEOUT-KILLED,
181,6666466646646662666466466646666,31,16,OPEN,0,TIMEOUT-KILLED,
182,6666466646646662666466646664666,31,16,STRUCTURAL,2,TIMEOUT-KILLED,
183,6666466646646664466646664664666,31,16,OPEN,0,TIMEOUT-KILLED,
184,6666466646646664466646664666466,31,16,STRUCTURAL,1,TIMEOUT-KILLED,
185,6666466646646664663666366646666,31,16,OPEN,0,TIMEOUT-KILLED,
186,6666466646646664664666266646666,31,16,OPEN,0,TIMEOUT-KILLED,
187,6666466646646664664666446664666,31,16,OPEN,0,TIMEOUT-KILLED,
188,6666466646646664664666466446666,31,16,OPEN,0,TIMEOUT-KILLED,
189,6666466646646664664666466466646,31,16,UNSAT,0,UNSAT,
190,6666466646646664666446664664666,31,16,OPEN,0,TIMEOUT-KILLED,
191,6666466646646664666464466646666,31,16,OPEN,0,TIMEOUT-KILLED,
192,6666466646646664666466466446666,31,16,STRUCTURAL,1,UNSAT,
193,6666466646646664666466466626666,31,16,OPEN,0,TIMEOUT-KILLED,
194,6666466646646664666466466644666,31,16,UNSAT,0,UNSAT,
195,6666466646646664666466466646664,31,16,OPEN,0,TIMEOUT-KILLED,
196,6666466646646664666466626646666,31,16,UNSAT,0,UNSAT,
197,6666466646662666466466646646666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,
198,6666466646662666466466646664666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,
199,6666466646664466646646664664666,31,16,OPEN,0,TIMEOUT-KILLED,
200,6666466646664466646646664666466,31,16,STRUCTURAL,1,TIMEOUT-KILLED,
201,6666466646664644664666466646666,31,16,STRUCTURAL,1,UNSAT,
202,6666466646664662664666466646666,31,16,OPEN,0,TIMEOUT-KILLED,
203,6666466646664662666466466646666,31,16,OPEN,0,TIMEOUT-KILLED,
204,6666466646664663666366646664666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,
205,6666466646664663666466366646666,31,16,OPEN,0,TIMEOUT-KILLED,
206,6666466646664663666466646636666,31,16,OPEN,0,TIMEOUT-KILLED,
207,6666466646664663666466646646665,31,16,STRUCTURAL,1,TIMEOUT-KILLED,
208,6666466646664664464666466646666,31,16,STRUCTURAL,1,UNSAT,
209,6666466646664664466466466646666,31,16,OPEN,0,TIMEOUT-KILLED,
210,6666466646664664466466646664666,31,16,OPEN,0,TIMEOUT-KILLED,
211,6666466646664664663666366646666,31,16,OPEN,0,TIMEOUT-KILLED,
212,6666466646664664664466466646666,31,16,OPEN,0,TIMEOUT-KILLED,
213,6666466646664664666266646646666,31,16,OPEN,0,TIMEOUT-KILLED,
214,6666466646664664666266646664666,31,16,OPEN,0,TIMEOUT-KILLED,
215,6666466646664664666446664664666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,
216,6666466646664664666446664666466,31,16,OPEN,0,TIMEOUT-KILLED,
217,6666466646664664666466366636666,31,16,UNSAT,0,UNSAT,
218,6666466646664664666466626646666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,
219,6666466646664664666466646446666,31,16,UNSAT,0,UNSAT,
220,6666466646664664666466646644666,31,16,UNSAT,0,UNSAT,
221,6666466646664664666466646646646,31,16,UNSAT,0,UNSAT,
222,6666466646664664666466646646664,31,16,UNSAT,0,UNSAT,
