index,pattern,K,Sigma,verdict,zero_candidate_columns,cadical_pass1,dlx_sweep,V,chain_frame,cover_language_scope,verdict_scope,corpus_in_frame,corpus_total,corpus_frame_fraction
73,666646664666466466646664664665,30,15,UNSAT,0,UNSAT,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
74,4666466466646664664666466646666,31,16,UNSAT,0,UNSAT,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
75,4666466646646664666466466646666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
76,4666466646664664666466646646666,31,16,UNSAT,0,UNSAT,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
77,5666466466646663664666466646666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
78,5666466466646664664666466646665,31,16,STRUCTURAL,1,UNSAT,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
79,5666466646646664666466466646665,31,16,UNSAT,0,UNSAT,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
80,5666466646664663666466646646666,31,16,STRUCTURAL,2,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
81,5666466646664664666466646646665,31,16,STRUCTURAL,1,UNSAT,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
82,6466466466646664664666466646666,31,16,UNSAT,0,UNSAT,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
83,6466466646664664666466646646666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
84,6466646646664664666466466646666,31,16,UNSAT,0,UNSAT,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
85,6466646646664666466466646664666,31,16,UNSAT,0,UNSAT,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
86,6466646664664666466646646664666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
87,6646646646664666466466646664666,31,16,STRUCTURAL,2,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
88,6646646664664666466466646646666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
89,6646646664666466466646664664666,31,16,UNSAT,0,UNSAT,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
90,6646664664666466466646646664666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
91,6646664664666466646646664666466,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
92,6646664666446664664666466646666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
93,6646664666466466644666466646666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
94,6646664666466466646646664666466,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
95,6646664666466466646664664666466,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
96,6646664666466644666466466646666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
97,6664466466646664664666466646666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
98,6664466646646664666466466646666,31,16,UNSAT,0,UNSAT,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
