file	orient	S	D	fFWDEND	fFWDSTART	fREVEND	fREVSTART	sFWDEND	sFWDSTART	sREVEND	sREVSTART
5906.up-a233fdf94b8d.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-a233fdf94b8d.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-a235b0e09b6c.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-a235b0e09b6c.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-a30c7c517d7b.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-a30c7c517d7b.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-a838f31a7b4f.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-a838f31a7b4f.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-abe33e328763.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-abe33e328763.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-aed220b1ebc4.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-aed220b1ebc4.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-b2d6bec1e3bd.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-b2d6bec1e3bd.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-bd458e7fc19e.txt	F	840	21	1	1	1	1	0	0	0	0
5906.up-bd458e7fc19e.txt	R	840	21	1	1	1	1	0	0	0	0
5906.up-c2286e4674af.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-c2286e4674af.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-c3afee7ed153.txt	F	838	23	1	1	2	2	0	0	0	0
5906.up-c3afee7ed153.txt	R	838	23	1	1	2	2	0	0	0	0
5906.up-c63a66adbc60.txt	F	838	23	1	1	2	2	0	0	0	0
5906.up-c63a66adbc60.txt	R	838	23	1	1	2	2	0	0	0	0
5906.up-cad80abdf334.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-cad80abdf334.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-d0b9281ca469.txt	F	836	25	1	1	2	2	0	0	0	0
5906.up-d0b9281ca469.txt	R	836	25	1	1	2	2	0	0	0	0
5906.up-d1489855deef.txt	F	838	23	1	1	2	2	0	0	0	0
5906.up-d1489855deef.txt	R	838	23	1	1	2	2	0	0	0	0
5906.up-d2559533f431.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-d2559533f431.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-d8c6ba46400e.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-d8c6ba46400e.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-d9a28c2d8195.txt	F	843	18	1	1	2	2	0	0	0	0
5906.up-d9a28c2d8195.txt	R	843	18	1	1	2	2	0	0	0	0
5906.up-da93a66cd37b.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-da93a66cd37b.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-dab493384582.txt	F	844	17	1	1	2	2	0	0	1	1
5906.up-dab493384582.txt	R	844	17	1	1	2	2	0	0	1	1
5906.up-dcd1e20d40f8.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-dcd1e20d40f8.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-df8c9033249e.txt	F	840	21	1	1	2	2	0	0	0	0
5906.up-df8c9033249e.txt	R	840	21	1	1	2	2	0	0	0	0
5906.up-e132c7a7c340.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-e132c7a7c340.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-e1680a9d0e30.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-e1680a9d0e30.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-e65e244c83d3.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-e65e244c83d3.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-e8da0f18269f.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-e8da0f18269f.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-e948752d6a32.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-e948752d6a32.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-e94d2b57a7d4.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-e94d2b57a7d4.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-eebb02e3baec.txt	F	844	17	1	1	1	1	0	0	0	0
5906.up-eebb02e3baec.txt	R	844	17	1	1	1	1	0	0	0	0
5906.up-f0a3bb335ed9.txt	F	844	17	1	1	2	2	0	0	0	0
5906.up-f0a3bb335ed9.txt	R	844	17	1	1	2	2	0	0	0	0
5906.up-f2c7804be474.txt	F	838	23	1	1	2	2	0	0	0	0
5906.up-f2c7804be474.txt	R	838	23	1	1	2	2	0	0	0	0
5906.up-f8d1e70c6a52.txt	F	840	21	1	1	1	1	0	0	0	0
5906.up-f8d1e70c6a52.txt	R	840	21	1	1	1	1	0	0	0	0
5906.i4a-29c55ed5fbf6.txt	F	839	22	1	1	1	1	0	0	0	0
5906.i4a-29c55ed5fbf6.txt	R	839	22	1	1	1	1	0	0	0	0
5906.i4a-50d865ca7907.txt	F	835	26	1	1	2	2	0	0	0	0
5906.i4a-50d865ca7907.txt	R	835	26	1	1	2	2	0	0	0	0
5906.i4a-66637a3b8941.txt	F	839	22	1	1	2	2	0	0	0	0
5906.i4a-66637a3b8941.txt	R	839	22	1	1	2	2	0	0	0	0
5906.i4a-6a77e138ea8e.txt	F	839	22	1	1	1	1	0	0	0	0
5906.i4a-6a77e138ea8e.txt	R	839	22	1	1	1	1	0	0	0	0
5906.i4a-7f46c8149026.txt	F	839	22	1	1	2	2	0	0	0	0
5906.i4a-7f46c8149026.txt	R	839	22	1	1	2	2	0	0	0	0
5906.i4a-b99b1d60f13e.txt	F	835	26	1	1	2	2	0	0	0	0
5906.i4a-b99b1d60f13e.txt	R	835	26	1	1	2	2	0	0	0	0
5906.i4a-c1080e26f60c.txt	F	839	22	1	1	1	1	0	0	0	0
5906.i4a-c1080e26f60c.txt	R	839	22	1	1	1	1	0	0	0	0
5906.i4a-e0f3de4ca026.txt	F	839	22	1	1	2	2	0	0	0	0
5906.i4a-e0f3de4ca026.txt	R	839	22	1	1	2	2	0	0	0	0
5906.lswap-025c4805fc39.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-025c4805fc39.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-031568aa1b5c.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-031568aa1b5c.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-06f4ba2c8122.txt	F	838	23	1	1	2	2	0	0	0	0
5906.lswap-06f4ba2c8122.txt	R	838	23	1	1	2	2	0	0	0	0
5906.lswap-09c105553d61.txt	F	838	23	1	1	2	2	0	0	0	0
5906.lswap-09c105553d61.txt	R	838	23	1	1	2	2	0	0	0	0
5906.lswap-0d13fc4a8a4a.txt	F	840	21	1	1	2	2	0	0	0	0
5906.lswap-0d13fc4a8a4a.txt	R	840	21	1	1	2	2	0	0	0	0
5906.lswap-0de54c0a7bb6.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-0de54c0a7bb6.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-10f62906b166.txt	F	838	23	1	1	2	2	0	0	0	0
5906.lswap-10f62906b166.txt	R	838	23	1	1	2	2	0	0	0	0
5906.lswap-17203113788c.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-17203113788c.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-17946ea8ba63.txt	F	844	17	1	1	2	2	0	0	0	0
5906.lswap-17946ea8ba63.txt	R	844	17	1	1	2	2	0	0	0	0
5906.lswap-1e70957354f1.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-1e70957354f1.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-1f8e06e3e616.txt	F	839	22	1	1	2	2	0	0	0	0
5906.lswap-1f8e06e3e616.txt	R	839	22	1	1	2	2	0	0	0	0
5906.lswap-20db05a5b51e.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-20db05a5b51e.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-23548cda0ace.txt	F	838	23	1	1	2	2	0	0	0	0
5906.lswap-23548cda0ace.txt	R	838	23	1	1	2	2	0	0	0	0
5906.lswap-2497c9291398.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-2497c9291398.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-25804d565b10.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-25804d565b10.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-25cebe1ff658.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-25cebe1ff658.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-28b97fbb68d1.txt	F	838	23	1	1	2	2	0	0	0	0
5906.lswap-28b97fbb68d1.txt	R	838	23	1	1	2	2	0	0	0	0
5906.lswap-29ee6f7c1197.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-29ee6f7c1197.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-2ae54d2fd96c.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-2ae54d2fd96c.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-2c94cb485ad7.txt	F	844	17	1	1	2	2	0	0	0	0
5906.lswap-2c94cb485ad7.txt	R	844	17	1	1	2	2	0	0	0	0
5906.lswap-2fb529601be6.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-2fb529601be6.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-3a55a72f70d6.txt	F	838	23	1	1	2	2	0	0	0	0
5906.lswap-3a55a72f70d6.txt	R	838	23	1	1	2	2	0	0	0	0
5906.lswap-3b4f2e286e0c.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-3b4f2e286e0c.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-3b66fbdbdf53.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-3b66fbdbdf53.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-3baeeea281f2.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-3baeeea281f2.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-3c791ffa671d.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-3c791ffa671d.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-3d82ae1f2111.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-3d82ae1f2111.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-41a210488ac9.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-41a210488ac9.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-423441640591.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-423441640591.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-469763027c57.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-469763027c57.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-49fac07a5323.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-49fac07a5323.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-49fc63d034f2.txt	F	844	17	1	1	1	1	0	0	0	0
