lift873_source	lift873_target	source_872	landing_872	verdict
873.w4lift-2a69c6b6d2c4.txt	873.w4lift-4527ec9a1399.txt	872.up-8171b11aa5f2.txt	872.up-55ffbe15f3e5.txt	BRIDGE
873.w4lift-2ab7b5646f8e.txt	873.w4lift-3dd725e29a7c.txt	872.up-4c96cb460915.txt	872.up-884e73f71035.txt	BRIDGE
873.w4lift-2aecb72d34e5.txt	873.w4lift-9f3216ce2f3f.txt	872.up-c76bed7997ac.txt	872.up-af16aacf0012.txt	BRIDGE
873.w4lift-2ba05a57b645.txt	873.w4lift-2ff4d1990a24.txt	872.up-4869a9da5453.txt	872.up-50e80db18080.txt	BRIDGE
873.w4lift-2c2e132881a6.txt	873.w4lift-0c9c654cc184.txt	872.up-9789736bc244.txt	872.up-e83cf969d73c.txt	BRIDGE
873.w4lift-2c2e132881a6.txt	873.w4lift-100b5ed6badb.txt	872.up-9789736bc244.txt	872.up-51acc2b57f20.txt	BRIDGE
873.w4lift-2d7836ce46a2.txt	873.w4lift-e339b3191997.txt	872.up-42fa7b68f090.txt	872.up-26a28cf98505.txt	BRIDGE
873.w4lift-2e35740c9113.txt	873.w4lift-a5395a4ff4d7.txt	872.up-aaeae43d97a9.txt	872.up-bac5a2cf536f.txt	BRIDGE
873.w4lift-2e40dd560205.txt	873.w4lift-211066b4efa1.txt	872.up-f582b4de11b3.txt	872.up-ef5decf11b0d.txt	BRIDGE
873.w4lift-2f206816d15b.txt	873.w4lift-b965edb6d0e4.txt	872.up-cd67e383d468.txt	872.up-358347036529.txt	BRIDGE
873.w4lift-2ff4d1990a24.txt	873.w4lift-2ba05a57b645.txt	872.up-50e80db18080.txt	872.up-4869a9da5453.txt	BRIDGE
873.w4lift-314f2a9adc12.txt	873.w4lift-a1e4fbb1f6da.txt	872.up-b0e5b2ade0c1.txt	872.up-1e68c82452d5.txt	BRIDGE
873.w4lift-314f2a9adc12.txt	873.w4lift-bb70fe16e865.txt	872.up-b0e5b2ade0c1.txt	872.up-97ef6807ccfc.txt	BRIDGE
873.w4lift-314f2a9adc12.txt	873.w4lift-bde245a5c4b9.txt	872.up-b0e5b2ade0c1.txt	872.up-95c2ad6d4eac.txt	BRIDGE
873.w4lift-322218602b64.txt	873.w4lift-82bdf482a351.txt	872.up-e0fb97e448b2.txt	872.up-a7722221f832.txt	BRIDGE
873.w4lift-325e05060916.txt	873.w4lift-c6f2145e405c.txt	872.up-064ebac8c68c.txt	872.up-048c6471a367.txt	BRIDGE
873.w4lift-3612c0e65483.txt	873.w4lift-b7a79867da0a.txt	872.up-9034d1926b2a.txt	872.up-dfd252dce273.txt	BRIDGE
873.w4lift-362c4c38f675.txt	873.w4lift-0cc36aa58d81.txt	872.up-e83cf969d73c.txt	872.up-9789736bc244.txt	BRIDGE
873.w4lift-375e7a359675.txt	873.w4lift-a9048b09b50b.txt	872.up-358347036529.txt	872.up-cd67e383d468.txt	BRIDGE
873.w4lift-380da33f0c08.txt	873.w4lift-0fcf9c3ad140.txt	872.up-dfd252dce273.txt	872.up-9034d1926b2a.txt	BRIDGE
873.w4lift-387078abe2c6.txt	873.w4lift-a645014d84f4.txt	872.up-7da2e43b227a.txt	872.up-b67b30dc2759.txt	BRIDGE
873.w4lift-397b2854d63f.txt	873.w4lift-3ac5b5a7a4e1.txt	872.up-4c777dfe1f22.txt	872.up-441620668166.txt	BRIDGE
873.w4lift-3a2d58cc764b.txt	873.w4lift-04cf2f2bfcfc.txt	872.up-7da2e43b227a.txt	872.up-b67b30dc2759.txt	BRIDGE
873.w4lift-3ac5b5a7a4e1.txt	873.w4lift-397b2854d63f.txt	872.up-441620668166.txt	872.up-4c777dfe1f22.txt	BRIDGE
873.w4lift-3b99fa96ff11.txt	873.w4lift-fef823a688a6.txt	872.up-c780529cd77f.txt	872.up-4f6e4d6ed536.txt	BRIDGE
873.w4lift-3c0660dec8f6.txt	873.w4lift-bc0bf296bc21.txt	872.up-f7288f90905a.txt	872.up-c7c99a123a53.txt	BRIDGE
873.w4lift-3d34d2ecc257.txt	873.w4lift-010c80158e14.txt	872.up-a7722221f832.txt	872.up-e0fb97e448b2.txt	BRIDGE
873.w4lift-3da0adb7c085.txt	873.w4lift-469f6057ea58.txt	872.up-878b93d55cf3.txt	872.up-59b86f24eed5.txt	BRIDGE
873.w4lift-3dd725e29a7c.txt	873.w4lift-2ab7b5646f8e.txt	872.up-884e73f71035.txt	872.up-4c96cb460915.txt	BRIDGE
873.w4lift-3e0817675924.txt	873.w4lift-0ba310f1118f.txt	872.up-78dd9e9830df.txt	872.up-2494d33b3dc3.txt	BRIDGE
873.w4lift-3e0817675924.txt	873.w4lift-16483de5a904.txt	872.up-78dd9e9830df.txt	872.up-3971f0347aee.txt	BRIDGE
873.w4lift-4065b319d843.txt	873.w4lift-f08820c5124b.txt	872.up-07bc5d6728ef.txt	872.up-793029c1fb87.txt	BRIDGE
873.w4lift-41912793f16c.txt	873.w4lift-6eabeb5cc6f7.txt	872.up-e327f72c7edb.txt	872.up-6c48ed694daa.txt	BRIDGE
