a	b	new
2497c9291398	29ee6f7c1197	known
2497c9291398	2ae54d2fd96c	known
2497c9291398	3baeeea281f2	known
2497c9291398	41a210488ac9	known
2497c9291398	49fc63d034f2	known
2497c9291398	4c179f65aa4b	known
2497c9291398	52e683fb05d3	known
2497c9291398	5808edca979d	known
2497c9291398	5a55d1641a86	known
2497c9291398	5dbb54e50268	known
2497c9291398	62d959eb4e73	known
2497c9291398	6d0ad177e5ee	known
2497c9291398	6f6f375dca74	known
2497c9291398	77512ee88848	known
2497c9291398	7f47c6e6eeda	known
2497c9291398	80e6c24a2613	known
2497c9291398	8ed814577309	known
2497c9291398	9759fb4af500	known
2497c9291398	9a5cc6a6e3c8	known
2497c9291398	9f3672f6c430	known
2497c9291398	a28e203d65dc	known
2497c9291398	a7d2db45842b	known
2497c9291398	a838f31a7b4f	known
2497c9291398	aa52880fc9e0	known
2497c9291398	afd973e1a915	known
2497c9291398	b55f23a2f470	known
2497c9291398	be4759bc731a	known
2497c9291398	cf5ecb0e9ecc	known
2497c9291398	d252e4d38aa9	known
2497c9291398	df71274e07be	known
2497c9291398	e0920da719d9	known
2497c9291398	e73e096376f0	known
2497c9291398	eeb9a73f4b33	known
25804d565b10	29ee6f7c1197	known
25804d565b10	2fb529601be6	known
25804d565b10	3baeeea281f2	known
25804d565b10	41a210488ac9	known
25804d565b10	423441640591	known
25804d565b10	469763027c57	known
25804d565b10	49fac07a5323	known
25804d565b10	49fc63d034f2	known
25804d565b10	4c179f65aa4b	known
25804d565b10	52e683fb05d3	known
25804d565b10	52f45c5e8e22	known
25804d565b10	5764c730eaee	known
25804d565b10	5808edca979d	known
25804d565b10	5a55d1641a86	known
25804d565b10	5dbb54e50268	known
25804d565b10	6bd82af50a4e	known
25804d565b10	6d0ad177e5ee	known
25804d565b10	6d7ea156bdcc	known
25804d565b10	6f6f375dca74	known
25804d565b10	73851215f718	known
25804d565b10	7602ba885180	known
25804d565b10	77512ee88848	known
25804d565b10	80e6c24a2613	known
25804d565b10	821102adfff8	known
25804d565b10	8ec03171f5df	known
25804d565b10	8ed814577309	known
25804d565b10	964ebce5847f	known
25804d565b10	9759fb4af500	known
25804d565b10	9a5cc6a6e3c8	known
25804d565b10	9f3672f6c430	known
25804d565b10	a28e203d65dc	known
25804d565b10	a7d2db45842b	known
25804d565b10	a838f31a7b4f	known
25804d565b10	aa52880fc9e0	known
25804d565b10	aed220b1ebc4	known
25804d565b10	af54b6f406a6	known
25804d565b10	afd973e1a915	known
25804d565b10	b55f23a2f470	known
25804d565b10	be4759bc731a	known
25804d565b10	cf5ecb0e9ecc	known
25804d565b10	d252e4d38aa9	known
25804d565b10	d2559533f431	known
25804d565b10	df71274e07be	known
25804d565b10	e0920da719d9	known
25804d565b10	e145b859ca30	known
25804d565b10	e2d18fca77cb	known
25804d565b10	e73e096376f0	known
25804d565b10	e948752d6a32	known
25804d565b10	eeb9a73f4b33	known
25804d565b10	eebb02e3baec	known
25804d565b10	f6dbf9989449	known
2641d60c9d5c	c44d48fbd52c	known
28b97fbb68d1	3a55a72f70d6	known
28b97fbb68d1	6597315411ea	known
28b97fbb68d1	67fc5c2184ab	known
28b97fbb68d1	c3afee7ed153	known
28b97fbb68d1	c63a66adbc60	known
28b97fbb68d1	d1489855deef	known
28b97fbb68d1	db110b7302cf	known
29c55ed5fbf6	56126e7237c3	known
29c55ed5fbf6	6dc582bac458	known
29c55ed5fbf6	bd458e7fc19e	known
29c55ed5fbf6	c1080e26f60c	known
29c55ed5fbf6	cf8339eb5ca7	known
