rule_id	n	shape_eo_ei_do_di	source_tables	n_pairs	inverse_id	inverse_present	rev_frame_id	rev_present	invrev_id	undirected_object	undirected_mult	reversal_object	reversal_mult	full_object	full_mult	census_undirected_edges	edgeset_group	census_undirected_edges	edgeset_group
08228ec67eb6	7	60,60,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	642f48479b2a	Y	71cb5ec4c29e	N	baefb22d1573	08228ec67eb6	2	08228ec67eb6	1	08228ec67eb6	2	4	E0022	4	E0022
08979c4016d6	7	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	b33e8d83721c	Y	42fbf3f0d536	Y	a6cdd296693f	08979c4016d6	2	08979c4016d6	2	08979c4016d6	4	4	E0023	4	E0023
095bfb3dc800	7	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=10	b85e26cbabc5	Y	d349b655a7c1	N	5d8ddda89df0	095bfb3dc800	2	095bfb3dc800	1	095bfb3dc800	2	16	E0024	16	E0024
09857047dc88	7	25,25,2,2	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	e180ae0b1895	Y	83d866bb4dcf	N	03fdc512b020	09857047dc88	2	09857047dc88	1	09857047dc88	2	2	E0025	2	E0025
098ff226f2b8	7	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	00feabfe3da8	Y	afd8434437e6	Y	c59c5cc23415	00feabfe3da8	2	098ff226f2b8	2	00feabfe3da8	4	4	E0002	4	E0002
09d23aa6b91a	7	174,174,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	3ec33775c7bd	Y	7feb1d8f6606	N	fde10d5c7d66	09d23aa6b91a	2	09d23aa6b91a	1	09d23aa6b91a	2	8	E0026	8	E0026
0a44fc281e4b	7	192,192,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	7c9659982f8f	Y	f6ee21389b41	N	dda3a807fd9e	0a44fc281e4b	2	0a44fc281e4b	1	0a44fc281e4b	2	2	E0027	2	E0027
0ad29fbab280	7	150,150,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	1fbf82fb2187	Y	0b0d19498098	N	ccdcfbe3bca3	0ad29fbab280	2	0ad29fbab280	1	0ad29fbab280	2	16	E0028	16	E0028
0b15336d6103	7	498,492,3,9	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	fba50ca54243	Y	4171453a74ef	N	5714b8440dfe	0b15336d6103	2	0b15336d6103	1	0b15336d6103	2	1	E0029	1	E0029
0b34b5c6c34a	7	180,180,0,0	rules_n7_a256.tsv,rules_n7_a4840_gen2.tsv	rules_n7_a256.tsv=1,rules_n7_a4840_gen2.tsv=1	8d51e0d74976	Y	0b34b5c6c34a	Y	8d51e0d74976	0b34b5c6c34a	2	0b34b5c6c34a	1	0b34b5c6c34a	2	1	E0030	1	E0030
0bc4fb89c460	7	450,444,3,9	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	79d92aface79	Y	0bc4fb89c460	Y	79d92aface79	0bc4fb89c460	2	0bc4fb89c460	1	0bc4fb89c460	2	1	E0031	1	E0031
0c1ecc350843	7	174,174,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	cd477e782247	Y	430764020c60	N	bba5d2e14a53	0c1ecc350843	2	0c1ecc350843	1	0c1ecc350843	2	4	E0032	4	E0032
0c9cc8c1741a	7	438,432,3,9	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	fe051e9e8f60	Y	0c9cc8c1741a	Y	fe051e9e8f60	0c9cc8c1741a	2	0c9cc8c1741a	1	0c9cc8c1741a	2	1	E0033	1	E0033
0ce7fb1aec46	7	198,198,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	c62a03f346cf	Y	19892f0e9945	N	0297c23710d5	0ce7fb1aec46	2	0ce7fb1aec46	1	0ce7fb1aec46	2	4	E0034	4	E0034
0cf38a094cfc	7	84,84,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=2	b2c5eb761e41	Y	07b94910f637	N	5b6277926158	0cf38a094cfc	2	0cf38a094cfc	1	0cf38a094cfc	2	4	E0035	4	E0035
0d491f159886	7	48,48,0,0	rules_n7_a256.tsv,rules_n7_a4840_gen2.tsv	rules_n7_a256.tsv=1,rules_n7_a4840_gen2.tsv=4	3a3b52457923	Y	0d491f159886	Y	3a3b52457923	0d491f159886	2	0d491f159886	1	0d491f159886	2	20	E0036	20	E0036
0dcc7a5a1ff7	7	84,84,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=2	3a87ef2485a8	Y	533b82e95448	N	5490c8a3307f	0dcc7a5a1ff7	2	0dcc7a5a1ff7	1	0dcc7a5a1ff7	2	4	E0037	4	E0037
0df6c6a90182	7	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=28	0df6c6a90182	Y	4fbc716a9592	N	4fbc716a9592	0df6c6a90182	1	0df6c6a90182	1	0df6c6a90182	1	16	E0038	16	E0038
0e43e84ca1d0	7	168,168,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	2700c8747c7b	Y	4ac50e0ad05c	N	74cde6efc00e	0e43e84ca1d0	2	0e43e84ca1d0	1	0e43e84ca1d0	2	2	E0039	2	E0039
0eb5ac032697	7	300,300,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	b67b4e614376	Y	226814b63278	N	38cab8956cc4	0eb5ac032697	2	0eb5ac032697	1	0eb5ac032697	2	1	E0040	1	E0040
0f1e40b2bfba	7	168,168,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	e03995ff4434	Y	9b165768fe85	N	fb2b0e80d8ee	0f1e40b2bfba	2	0f1e40b2bfba	1	0f1e40b2bfba	2	2	E0041	2	E0041
0f5ed4ca9093	7	180,180,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	f491e3e4a3c1	Y	9b65ccb0d48c	N	e79ec6d38c94	0f5ed4ca9093	2	0f5ed4ca9093	1	0f5ed4ca9093	2	4	E0042	4	E0042
0f9b6ed98294	7	438,432,3,9	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	c79d39bc27d1	Y	7b3b50d5785b	N	ad06a651279e	0f9b6ed98294	2	0f9b6ed98294	1	0f9b6ed98294	2	1	E0043	1	E0043
0fa419c2f08b	7	84,84,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	f08b1ddb7e4d	Y	e87ff386b2bc	N	ad722827887b	0fa419c2f08b	2	0fa419c2f08b	1	0fa419c2f08b	2	4	E0044	4	E0044
105e326bc51e	7	25,24,1,2	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	28343f6d7386	Y	2595a1b3d86e	N	380bebbab32b	105e326bc51e	2	105e326bc51e	1	105e326bc51e	2	2	E0045	2	E0045
10d61a16c4f8	7	96,96,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	b4fb337c2041	Y	b8d9085fd1d6	N	1fe16c04b5d5	10d61a16c4f8	2	10d61a16c4f8	1	10d61a16c4f8	2	4	E0046	4	E0046
1174ffd57013	7	24,25,2,1	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	7df19d789c5d	Y	d991c7511bad	N	0b35fcf9032f	1174ffd57013	2	1174ffd57013	1	1174ffd57013	2	2	E0047	2	E0047
11d2586bfe7f	7	390,396,9,3	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	6ae7d8b11d5e	Y	0cd9e3d2a2ca	N	d10beed41948	11d2586bfe7f	2	11d2586bfe7f	1	11d2586bfe7f	2	1	E0048	1	E0048
11d3809be670	7	132,132,0,0	rules_n7_a256.tsv,rules_n7_a4840_gen2.tsv	rules_n7_a256.tsv=2,rules_n7_a4840_gen2.tsv=3	2021ad1a80b0	Y	11d3809be670	Y	2021ad1a80b0	11d3809be670	2	11d3809be670	1	11d3809be670	2	3	E0049	3	E0049
1293f7787f8a	7	192,192,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	ff37ff3f6ef2	Y	298312fd1761	N	6c869d93b549	1293f7787f8a	2	1293f7787f8a	1	1293f7787f8a	2	4	E0050	4	E0050
1349ff4d86ac	7	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	234ee4fddece	Y	cee7494fd232	N	90e996ea7480	1349ff4d86ac	2	1349ff4d86ac	1	1349ff4d86ac	2	4	E0051	4	E0051
13a2ca857332	7	60,60,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=2	04494fa53cff	Y	b52066d6401f	N	d1167a2951a8	04494fa53cff	2	13a2ca857332	1	04494fa53cff	2	4	E0012	4	E0012
13f6c2effda5	7	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4eb2562f0637	Y	3928acbccbec	Y	1e95aaf59d36	13f6c2effda5	2	13f6c2effda5	2	13f6c2effda5	4	2	E0052	2	E0052
1440a8e1a807	7	108,108,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	518f9139e0cb	Y	eba5a9090074	N	184a34c3c4ad	1440a8e1a807	2	1440a8e1a807	1	1440a8e1a807	2	2	E0053	2	E0053
14641f09bcf0	7	192,192,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	a33cb05ccb10	Y	59e6012b822f	N	6cbd51cb3815	14641f09bcf0	2	14641f09bcf0	1	14641f09bcf0	2	4	E0054	4	E0054
14a420b3a5b2	7	168,168,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	162b937cfcd8	Y	02411532d356	N	41ba20e78150	14a420b3a5b2	2	14a420b3a5b2	1	14a420b3a5b2	2	16	E0055	16	E0055
14dbfee2d4bb	7	498,492,3,9	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	5c37934c0e37	Y	14dbfee2d4bb	Y	5c37934c0e37	14dbfee2d4bb	2	14dbfee2d4bb	1	14dbfee2d4bb	2	1	E0056	1	E0056
151c9d94814a	7	36,36,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=3	5166d6e62e75	Y	3f4b1bcb6fa8	Y	e3da64e6da9b	151c9d94814a	2	151c9d94814a	2	151c9d94814a	4	8	E0057	8	E0057
156e559f9324	7	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	f489418a0205	Y	2a67318b9efd	N	ce5a837cb7dc	156e559f9324	2	156e559f9324	1	156e559f9324	2	16	E0058	16	E0058
15c816659d45	7	60,60,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=2	e311a814616f	Y	947ec684036e	N	c0c8e59eccb8	15c816659d45	2	15c816659d45	1	15c816659d45	2	4	E0059	4	E0059
162b937cfcd8	7	168,168,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	14a420b3a5b2	Y	41ba20e78150	N	02411532d356	14a420b3a5b2	2	162b937cfcd8	1	14a420b3a5b2	2	16	E0055	16	E0055
16ba687ddc32	7	480,486,9,3	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	d3638d95f38d	Y	fab4aea3ff5e	N	2435b53b2cf7	16ba687ddc32	2	16ba687ddc32	1	16ba687ddc32	2	1	E0060	1	E0060
16eab6538ab6	7	96,96,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	cf81c5206273	Y	9e986c7ec4bc	N	18eeb048c846	16eab6538ab6	2	16eab6538ab6	1	16eab6538ab6	2	4	E0061	4	E0061
171ac63bfbd7	7	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	96bae6feab65	Y	153e565f6533	N	13a25682b809	171ac63bfbd7	2	171ac63bfbd7	1	171ac63bfbd7	2	4	E0062	4	E0062
172c8ba32158	7	48,49,2,1	rules_n7.tsv,rules_n7_a256.tsv	rules_n7.tsv=1,rules_n7_a256.tsv=1	3187a6ab820d	Y	2e1a3a5929ea	N	6a0ff2c5b0e5	172c8ba32158	2	172c8ba32158	1	172c8ba32158	2	1	E0063	1	E0063
176d3814e13d	7	168,168,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	56f642d92240	Y	dd55b0736383	N	a792d92caaf7	176d3814e13d	2	176d3814e13d	1	176d3814e13d	2	8	E0064	8	E0064
182cf9bee74c	7	84,84,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=2	98aeb647340c	Y	62d8f55318a5	N	ca8d4b1ffa1d	182cf9bee74c	2	182cf9bee74c	1	182cf9bee74c	2	4	E0065	4	E0065
19278553942a	7	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	b33afc4539f0	Y	bbd8011c82a9	Y	df07b5dbb378	19278553942a	2	19278553942a	2	19278553942a	4	4	E0066	4	E0066
1953b28ffc27	7	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	5e303fc5a688	Y	50217ca3a1ca	N	a31532e3fc4a	1953b28ffc27	2	1953b28ffc27	1	1953b28ffc27	2	8	E0067	8	E0067
196f16ebb5ca	7	438,432,3,9	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	1ba09021c7f8	Y	4509e1186df5	N	f1879fc411c0	196f16ebb5ca	2	196f16ebb5ca	1	196f16ebb5ca	2	1	E0068	1	E0068
19a9f1318e76	7	24,25,2,1	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	1b6b29b60594	Y	f4c944caebde	N	9bc83c25ad65	19a9f1318e76	2	19a9f1318e76	1	19a9f1318e76	2	2	E0069	2	E0069
19e1c21182bd	7	198,198,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	81d3a556dfde	Y	d4be81bcc9b2	N	ad559c2ff7f6	19e1c21182bd	2	19e1c21182bd	1	19e1c21182bd	2	4	E0070	4	E0070
1a06d1157530	7	192,192,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	96704a0eb24e	Y	29859554a491	N	fc9095304603	1a06d1157530	2	1a06d1157530	1	1a06d1157530	2	8	E0071	8	E0071
1af57ae297b0	7	492,498,9,3	rules_n7_a256.tsv,rules_n7_a4840_gen2.tsv	rules_n7_a256.tsv=1,rules_n7_a4840_gen2.tsv=1	ba5345a2c444	Y	1af57ae297b0	Y	ba5345a2c444	1af57ae297b0	2	1af57ae297b0	1	1af57ae297b0	2	1	E0072	1	E0072
1b6b29b60594	7	25,24,1,2	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	19a9f1318e76	Y	9bc83c25ad65	N	f4c944caebde	19a9f1318e76	2	1b6b29b60594	1	19a9f1318e76	2	2	E0069	2	E0069
1b8c339e89cd	7	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=5	b98392e1d7a6	Y	4084b26a2c4d	N	43b268f0ee21	1b8c339e89cd	2	1b8c339e89cd	1	1b8c339e89cd	2	8	E0073	8	E0073
1ba09021c7f8	7	432,438,9,3	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	196f16ebb5ca	Y	f1879fc411c0	N	4509e1186df5	196f16ebb5ca	2	1ba09021c7f8	1	196f16ebb5ca	2	1	E0068	1	E0068
1ba1dace333f	7	168,168,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=2	78a113fc5546	Y	e525d9fd225e	N	f1f041fbfb63	1ba1dace333f	2	1ba1dace333f	1	1ba1dace333f	2	4	E0074	4	E0074
1bba2e07446c	7	96,96,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	3a42d71f01c6	Y	6b015a2a1eac	N	1548d4e0ec17	1bba2e07446c	2	1bba2e07446c	1	1bba2e07446c	2	4	E0075	4	E0075
1be958ce8f4e	7	108,108,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	0058ac858d36	Y	92dd26e01875	Y	49eb8498235d	0058ac858d36	2	1be958ce8f4e	2	0058ac858d36	4	8	E0000	8	E0000
1cbe0c8fcdd7	7	324,324,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	6c1de5190355	Y	7c3bf8dcf149	N	52729c3c6d30	1cbe0c8fcdd7	2	1cbe0c8fcdd7	1	1cbe0c8fcdd7	2	1	E0076	1	E0076
1d16cacba0be	7	108,108,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	d306546e9989	Y	64747b1aaa96	Y	71e1161ee3eb	1d16cacba0be	2	1d16cacba0be	2	1d16cacba0be	4	8	E0077	8	E0077
1d66c35e4a35	7	192,192,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	77f471f848b0	Y	c9dc815dc393	N	036086865b82	1d66c35e4a35	2	1d66c35e4a35	1	1d66c35e4a35	2	4	E0078	4	E0078
1d6a7fce6cd4	7	156,156,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=2	32484de5d5f7	Y	1d6a7fce6cd4	Y	32484de5d5f7	1d6a7fce6cd4	2	1d6a7fce6cd4	1	1d6a7fce6cd4	2	3	E0079	3	E0079
1d9d6b4be098	7	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	205e00aedd5c	Y	6956c983c235	Y	c65aef8bfb75	1d9d6b4be098	2	1d9d6b4be098	2	1d9d6b4be098	4	2	E0080	2	E0080
1dc8fef1698c	7	162,162,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	442632459723	Y	2cb8f93eed94	N	4a5023fb6f26	1dc8fef1698c	2	1dc8fef1698c	1	1dc8fef1698c	2	2	E0081	2	E0081
1e48e92e2bca	7	174,174,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	e853ab8baae5	Y	0d5dfe410b14	N	4cc97a386295	1e48e92e2bca	2	1e48e92e2bca	1	1e48e92e2bca	2	8	E0082	8	E0082
1e95aaf59d36	7	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	3928acbccbec	Y	4eb2562f0637	Y	13f6c2effda5	1e95aaf59d36	2	1e95aaf59d36	2	13f6c2effda5	4	2	E0052	2	E0052
1e97b4d2bd18	7	126,126,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	a9604abeb264	Y	e8010fda4ae9	Y	90628da2dd0c	1e97b4d2bd18	2	1e97b4d2bd18	2	1e97b4d2bd18	4	16	E0083	16	E0083
1f023cb92021	7	504,510,9,3	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	b94b7bbdd2a8	Y	a91b32f5fef3	N	35ee6142b89b	1f023cb92021	2	1f023cb92021	1	1f023cb92021	2	1	E0084	1	E0084
1f22bfdc604d	7	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	5fdd20443018	Y	c216a9ac12c8	N	083fb1d0079b	1f22bfdc604d	2	1f22bfdc604d	1	1f22bfdc604d	2	4	E0085	4	E0085
1fa74a7c6774	7	96,96,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	fe3e4c3a8938	Y	c2c615bb1e0c	N	2a47a4bc678c	1fa74a7c6774	2	1fa74a7c6774	1	1fa74a7c6774	2	4	E0086	4	E0086
1fbf82fb2187	7	150,150,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	0ad29fbab280	Y	ccdcfbe3bca3	N	0b0d19498098	0ad29fbab280	2	1fbf82fb2187	1	0ad29fbab280	2	16	E0028	16	E0028
1fdef8fb9a0a	7	162,162,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	f609e3a8e480	Y	8ff9f614519b	N	58afe26c1f8b	1fdef8fb9a0a	2	1fdef8fb9a0a	1	1fdef8fb9a0a	2	4	E0087	4	E0087
1ff5160db856	7	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	dc2afaae0ced	Y	e1370d0dcbc7	N	bcd93c73054b	1ff5160db856	2	1ff5160db856	1	1ff5160db856	2	8	E0088	8	E0088
2021ad1a80b0	7	132,132,0,0	rules_n7_a256.tsv,rules_n7_a4840_gen2.tsv	rules_n7_a256.tsv=2,rules_n7_a4840_gen2.tsv=3	11d3809be670	Y	2021ad1a80b0	Y	11d3809be670	11d3809be670	2	2021ad1a80b0	1	11d3809be670	2	3	E0049	3	E0049
203b9da4a4f9	7	186,186,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	2646e152c820	Y	d55f13f5cad4	N	f81aa7671e47	203b9da4a4f9	2	203b9da4a4f9	1	203b9da4a4f9	2	2	E0089	2	E0089
