rule_id	n	ents_out	ents_in	doors_out	doors_in	n_pairs	sigs	example_pair
83d54a67702c	7	1234765,1237465,1273465,1542673,1542763,1546273,1564273,1723465,2346175,2347615,2374615,2671543,2715463,2715643,2734615,2761543,3461275,3461725,3476125,3746125,4267153,4271563,4276153,4612375,4612735,4617235,4627153,4761235,5426713,5427613,5462713,5642713,6123475,6123745,6127345,6154273,6172345,6271543,6427153,6715423,7154263,7154623,7156423,7234615,7346125,7461235,7612345,7615423	1234567,1235467,1253467,1523467,1534276,1542376,1542736,1543276,2345617,2346157,2354617,2371546,2534617,2715346,2715436,2731546,3154276,3271546,3427156,3456127,3461257,3461527,3546127,3715426,4237156,4271536,4273156,4327156,4561237,4612357,4612537,4615237,5234617,5342716,5346127,5423716,5427316,5432716,5461237,5612347,6123457,6123547,6125347,6152347,7153426,7154236,7154326,7315426			13	-	5906.lswap-f6dbf9989449.txt~5906.up-eebb02e3baec.txt
d6c04566fc39	7	1234567,1235467,1253467,1523467,1534276,1542376,1542736,1543276,2345617,2346157,2354617,2371546,2534617,2715346,2715436,2731546,3154276,3271546,3427156,3456127,3461257,3461527,3546127,3715426,4237156,4271536,4273156,4327156,4561237,4612357,4612537,4615237,5234617,5342716,5346127,5423716,5427316,5432716,5461237,5612347,6123457,6123547,6125347,6152347,7153426,7154236,7154326,7315426	1234765,1237465,1273465,1542673,1542763,1546273,1564273,1723465,2346175,2347615,2374615,2671543,2715463,2715643,2734615,2761543,3461275,3461725,3476125,3746125,4267153,4271563,4276153,4612375,4612735,4617235,4627153,4761235,5426713,5427613,5462713,5642713,6123475,6123745,6127345,6154273,6172345,6271543,6427153,6715423,7154263,7154623,7156423,7234615,7346125,7461235,7612345,7615423			13	-	5906.lswap-f6dbf9989449.txt~5906.up-eebb02e3baec.txt
095bfb3dc800	7	1234567,1235467,1253467,1346257,1436257,1462537,1463257,1523467,2345617,2346157,2354617,2513467,2514367,2514637,2531467,2534617,3146257,3251467,3456127,3461257,3461527,3462517,3546127,3625147,4362517,4561237,4612357,4612537,4615237,4625137,4625317,4632517,5134627,5143627,5146327,5234617,5314627,5346127,5461237,5612347,6123457,6123547,6125347,6152347,6251347,6251437,6253147,6325147	1234765,1237465,1273465,1462573,1467253,1476253,1723465,1746253,2346175,2347615,2374615,2514673,2514763,2517463,2571463,2734615,3461275,3461725,3476125,3746125,4612375,4612735,4617235,4625173,4625713,4672513,4761235,4762513,5146723,5147623,5174623,5714623,6123475,6123745,6127345,6172345,6251473,6251743,6257143,6725143,7146253,7234615,7251463,7346125,7461235,7462513,7612345,7625143			10	-	5906.lswap-0de54c0a7bb6.txt~5906.lswap-a28e203d65dc.txt
b85e26cbabc5	7	1234765,1237465,1273465,1462573,1467253,1476253,1723465,1746253,2346175,2347615,2374615,2514673,2514763,2517463,2571463,2734615,3461275,3461725,3476125,3746125,4612375,4612735,4617235,4625173,4625713,4672513,4761235,4762513,5146723,5147623,5174623,5714623,6123475,6123745,6127345,6172345,6251473,6251743,6257143,6725143,7146253,7234615,7251463,7346125,7461235,7462513,7612345,7625143	1234567,1235467,1253467,1346257,1436257,1462537,1463257,1523467,2345617,2346157,2354617,2513467,2514367,2514637,2531467,2534617,3146257,3251467,3456127,3461257,3461527,3462517,3546127,3625147,4362517,4561237,4612357,4612537,4615237,4625137,4625317,4632517,5134627,5143627,5146327,5234617,5314627,5346127,5461237,5612347,6123457,6123547,6125347,6152347,6251347,6251437,6253147,6325147			10	-	5906.lswap-0de54c0a7bb6.txt~5906.lswap-a28e203d65dc.txt
f87b924fc4aa	7	1234567,1235467,1253467,1462573,1467253,1476253,1523467,1746253,2345617,2346157,2354617,2514673,2514763,2517463,2534617,2571463,3456127,3461257,3461527,3546127,4561237,4612357,4612537,4615237,4625173,4625713,4672513,4762513,5146723,5147623,5174623,5234617,5346127,5461237,5612347,5714623,6123457,6123547,6125347,6152347,6251473,6251743,6257143,6725143,7146253,7251463,7462513,7625143	1234765,1237465,1273465,1346257,1436257,1462537,1463257,1723465,2346175,2347615,2374615,2513467,2514367,2514637,2531467,2734615,3146257,3251467,3461275,3461725,3462517,3476125,3625147,3746125,4362517,4612375,4612735,4617235,4625137,4625317,4632517,4761235,5134627,5143627,5146327,5314627,6123475,6123745,6127345,6172345,6251347,6251437,6253147,6325147,7234615,7346125,7461235,7612345			10	-	5906.lswap-3baeeea281f2.txt~5906.lswap-964ebce5847f.txt
4d9a21b2c945	7	1234765,1237465,1273465,1346257,1436257,1462537,1463257,1723465,2346175,2347615,2374615,2513467,2514367,2514637,2531467,2734615,3146257,3251467,3461275,3461725,3462517,3476125,3625147,3746125,4362517,4612375,4612735,4617235,4625137,4625317,4632517,4761235,5134627,5143627,5146327,5314627,6123475,6123745,6127345,6172345,6251347,6251437,6253147,6325147,7234615,7346125,7461235,7612345	1234567,1235467,1253467,1462573,1467253,1476253,1523467,1746253,2345617,2346157,2354617,2514673,2514763,2517463,2534617,2571463,3456127,3461257,3461527,3546127,4561237,4612357,4612537,4615237,4625173,4625713,4672513,4762513,5146723,5147623,5174623,5234617,5346127,5461237,5612347,5714623,6123457,6123547,6125347,6152347,6251473,6251743,6257143,6725143,7146253,7251463,7462513,7625143			10	-	5906.lswap-3baeeea281f2.txt~5906.lswap-964ebce5847f.txt
2c806c1bf6e3	7	1234765,1237465,1273465,1465273,1465723,1467523,1476523,1723465,2146573,2146753,2147653,2346175,2347615,2374615,2714653,2734615,3461275,3461725,3476125,3746125,4612375,4612735,4617235,4652713,4657213,4675213,4761235,4765213,5214673,5214763,5271463,5721463,6123475,6123745,6127345,6172345,6521473,6527143,6572143,6752143,7146523,7214653,7234615,7346125,7461235,7521463,7612345,7652143	1234567,1235467,1253467,1436527,1463527,1465237,1465327,1523467,2143657,2146357,2146537,2314657,2345617,2346157,2354617,2534617,3146527,3214657,3456127,3461257,3461527,3521467,3546127,3652147,4365217,4561237,4612357,4612537,4615237,4635217,4652317,4653217,5214367,5214637,5231467,5234617,5321467,5346127,5461237,5612347,6123457,6123547,6125347,6152347,6352147,6521437,6523147,6532147			9	-	5906.lswap-b55f23a2f470.txt~5906.lswap-e0920da719d9.txt
7c2769543fc5	7	1234567,1235467,1253467,1436527,1463527,1465237,1465327,1523467,2143657,2146357,2146537,2314657,2345617,2346157,2354617,2534617,3146527,3214657,3456127,3461257,3461527,3521467,3546127,3652147,4365217,4561237,4612357,4612537,4615237,4635217,4652317,4653217,5214367,5214637,5231467,5234617,5321467,5346127,5461237,5612347,6123457,6123547,6125347,6152347,6352147,6521437,6523147,6532147	1234765,1237465,1273465,1465273,1465723,1467523,1476523,1723465,2146573,2146753,2147653,2346175,2347615,2374615,2714653,2734615,3461275,3461725,3476125,3746125,4612375,4612735,4617235,4652713,4657213,4675213,4761235,4765213,5214673,5214763,5271463,5721463,6123475,6123745,6127345,6172345,6521473,6527143,6572143,6752143,7146523,7214653,7234615,7346125,7461235,7521463,7612345,7652143			9	-	5906.lswap-b55f23a2f470.txt~5906.lswap-e0920da719d9.txt
72d376c5571d	7	1234567,1235467,1253467,1465273,1465723,1467523,1476523,1523467,2146573,2146753,2147653,2345617,2346157,2354617,2534617,2714653,3456127,3461257,3461527,3546127,4561237,4612357,4612537,4615237,4652713,4657213,4675213,4765213,5214673,5214763,5234617,5271463,5346127,5461237,5612347,5721463,6123457,6123547,6125347,6152347,6521473,6527143,6572143,6752143,7146523,7214653,7521463,7652143	1234765,1237465,1273465,1436527,1463527,1465237,1465327,1723465,2143657,2146357,2146537,2314657,2346175,2347615,2374615,2734615,3146527,3214657,3461275,3461725,3476125,3521467,3652147,3746125,4365217,4612375,4612735,4617235,4635217,4652317,4653217,4761235,5214367,5214637,5231467,5321467,6123475,6123745,6127345,6172345,6352147,6521437,6523147,6532147,7234615,7346125,7461235,7612345			8	-	5906.lswap-3baeeea281f2.txt~5906.lswap-a28e203d65dc.txt
4c6e579a7560	7	1234765,1237465,1273465,1436527,1463527,1465237,1465327,1723465,2143657,2146357,2146537,2314657,2346175,2347615,2374615,2734615,3146527,3214657,3461275,3461725,3476125,3521467,3652147,3746125,4365217,4612375,4612735,4617235,4635217,4652317,4653217,4761235,5214367,5214637,5231467,5321467,6123475,6123745,6127345,6172345,6352147,6521437,6523147,6532147,7234615,7346125,7461235,7612345	1234567,1235467,1253467,1465273,1465723,1467523,1476523,1523467,2146573,2146753,2147653,2345617,2346157,2354617,2534617,2714653,3456127,3461257,3461527,3546127,4561237,4612357,4612537,4615237,4652713,4657213,4675213,4765213,5214673,5214763,5234617,5271463,5346127,5461237,5612347,5721463,6123457,6123547,6125347,6152347,6521473,6527143,6572143,6752143,7146523,7214653,7521463,7652143			8	-	5906.lswap-3baeeea281f2.txt~5906.lswap-a28e203d65dc.txt
